text,swapped_text,orig_pred,swap_pred,changed_prediction,max_probability_shift,swap_direction
"He has served as the Design Editor for Cream City Review, and became the Poetry Editor for Storm Cellar. Madison holds an MFA from the University of Notre Dame and will be a 2018 Artist-In-Residence at The Millay Colony for the Arts.","She has served as the Design Editor for Cream City Review, and became the Poetry Editor for Storm Cellar. Madison holds an MFA from the University of Notre Dame and will be a 2018 Artist-In-Residence at The Millay Colony for the Arts.",11,11,False,0.02479584515094757,male->female
"His research focuses on algorithmic mechanism design, including multidimensional auctions. His thesis on this topic was awarded the ACM SIGecom doctoral dissertation award. More recently, he's additionally working on mechanism design for cryptocurrencies and social good domains.","Hers research focuses on algorithmic mechanism design, including multidimensional auctions. Hers thesis on this topic was awarded the ACM SIGecom doctoral dissertation award. More recently, she's additionally working on mechanism design for cryptocurrencies and social good domains.",21,21,False,0.07531148195266724,male->female
She is board certified geriatric primary care nurse practitioner in Illinois. She has been actively teaching clinical group of graduate and undergraduate students focused on old adult’s population in the University of Illinois at Chicago Hospital. She has strong research interest in improving quality of care for older adults in Chicago community nursing homes by reducing 30-day hospital readmission.,He is board certified geriatric primary care nurse practitioner in Illinois. He has been actively teaching clinical group of graduate and undergraduate students focused on old adult’s population in the University of Illinois at Chicago Hospital. He has strong research interest in improving quality of care for older adults in Chicago community nursing homes by reducing 30-day hospital readmission.,13,21,True,0.5528886318206787,female->male
"His research interests focus on the epigenetic mechanisms behind the vascular and retinal cell phenotype changes. Together with collaborators, his lab is also exploring innovative ways to therapeutically target these mechanisms by using engineered drug delivery platforms.","Hers research interests focus on the epigenetic mechanisms behind the vascular and retinal cell phenotype changes. Together with collaborators, hers lab is also exploring innovative ways to therapeutically target these mechanisms by using engineered drug delivery platforms.",21,21,False,0.01775979995727539,male->female
"She graduated with honors in 1996. Having more than 21 years of diverse experiences, especially in NURSE PRACTITIONER, Cynthia N Milstead affiliates with many hospitals including Flowers Hospital, Southeast Alabama Medical Center, and cooperates with other doctors and specialists in many medical groups including Piedmont Medical Care Corporation, Southeast Alabama Rural Health Associates. Call Cynthia N Milstead on phone number (334) 446-0076 for more information and advises or to book an appointment.","He graduated with honors in 1996. Having more than 21 years of diverse experiences, especially in NURSE PRACTITIONER, Cynthia N Milstead affiliates with many hospitals including Flowers Hospital, Southeast Alabama Medical Center, and cooperates with other doctors and specialists in many medical groups including Piedmont Medical Care Corporation, Southeast Alabama Rural Health Associates. Call Cynthia N Milstead on phone number (334) 446-0076 for more information and advises or to book an appointment.",13,13,False,0.00010353326797485352,female->male
She is a native of Puerto Rico. She is an environmental epidemiologist and conducts research to assess human health effects from exposure to environmental pollutants. She is currently leading a project in Northeast Tennessee to study the role of household air pollution on COPD.,He is a native of Puerto Rico. He is an environmental epidemiologist and conducts research to assess human health effects from exposure to environmental pollutants. He is currently leading a project in Northeast Tennessee to study the role of household air pollution on COPD.,21,21,False,0.26120540499687195,female->male
"She practices at Apollo Spectra Hospitals, Chembur, Mumbai. She is a member of the Bombay Ophthalmology Association and the Tamil Nadu Ophthalmic Association. She specializes in Cataract Surgery, Glaucoma Traub Surgery, Chalazion Excision and Pterygium with autograft.","He practices at Apollo Spectra Hospitals, Chembur, Mumbai. He is a member of the Bombay Ophthalmology Association and the Tamil Nadu Ophthalmic Association. He specializes in Cataract Surgery, Glaucoma Traub Surgery, Chalazion Excision and Pterygium with autograft.",25,25,False,0.44121792912483215,female->male
He attended the University of Colorado Denver School of Medicine and subsequently trained at Arizona Health Sciences Center and Rush University Medical Center for residency. Dr. Herr is conversant in Spanish.,She attended the University of Colorado Denver School of Medicine and subsequently trained at Arizona Health Sciences Center and Rush University Medical Center for residency. Dr. Herr is conversant in Spanish.,19,19,False,0.004098765552043915,male->female
"She was born in Santa Monica on June 1, 1985. She is listed on FreeOnes since 2008 and is currently ranked 6137th place. She currently has 12 gallery links in her own FreeOnes section.","He was born in Santa Monica on June 1, 1985. He is listed on FreeOnes since 2008 and is currently ranked 6137th place. He currently has 12 gallery links in him own FreeOnes section.",12,12,False,0.4464064836502075,female->male
He is the author of The Enemy Within: Fears of Corruption in the Civil War North (2011) and co-editor of This Distracted and Anarchical People: New Answers for Old Questions about the Civil War-Era North (2013).,She is the author of The Enemy Within: Fears of Corruption in the Civil War North (2011) and co-editor of This Distracted and Anarchical People: New Answers for Old Questions about the Civil War-Era North (2013).,21,21,False,0.09195805341005325,male->female
"She has been affiliated with the York Centre for International and Security Studies for a decade, and is currently an External Associate. She is also a Research Fellow at the Centre for Defence and Security Studies at the University of Manitoba. Samantha Arnold served as the Director of the Institute for Human Rights and Global Studies at the UW's Global College.","He has been affiliated with the York Centre for International and Security Studies for a decade, and is currently an External Associate. He is also a Research Fellow at the Centre for Defence and Security Studies at the University of Manitoba. Samantha Arnold served as the Director of the Institute for Human Rights and Global Studies at the UW's Global College.",21,21,False,0.005165278911590576,female->male
"Born in Ghana, Mr. Lincoln, 33, was given his name by his grandfather, ""because Abraham Lincoln freed the slaves,"" he explained. The grandfather was so enamored of Lincoln that he gave his daughter-in-law a cow for giving birth on Feb. 16, since Lincoln was the 16th American president. Mr. Lincoln is standing on the stage in the Great Hall of Cooper Union, where in 1860 Abraham Lincoln made a historic speech that made him a national figure. His pose, however, echoes a photograph by Mathew B. Brady taken in 1864.","Born in Ghana, Mr. Lincoln, 33, was given hers name by hers grandfather, ""because Abraham Lincoln freed the slaves,"" she explained. The grandfather was so enamored of Lincoln that she gave hers son-in-law a cow for giving birth on Feb. 16, since Lincoln was the 16th American president. Mr. Lincoln is standing on the stage in the Great Hall of Cooper Union, where in 1860 Abraham Lincoln made a historic speech that made her a national figure. Hers pose, however, echoes a photograph by Mathew B. Brady taken in 1864.",2,2,False,0.06237435340881348,mixed
"He is also a Clinical Volunteer Faculty at the University of California, Irvine, Department of Orthopaedic Surgery. Along with Program Director, Dr. Mark Halikis, Dr. Dinh provides consultation, surgical care, treatment, and follow-up rehabilitation to Children's Hospital of Orange County (CHOC) patients with congenital or acquired hand conditions. This clinic is the site where Dr. Dinh actively participates in teaching orthopaedic residents and medical students in the field of hand surgery.","She is also a Clinical Volunteer Faculty at the University of California, Irvine, Department of Orthopaedic Surgery. Along with Program Director, Dr. Mark Halikis, Dr. Dinh provides consultation, surgical care, treatment, and follow-up rehabilitation to Children's Hospital of Orange County (CHOC) patients with congenital or acquired hand conditions. This clinic is the site where Dr. Dinh actively participates in teaching orthopaedic residents and medical students in the field of hand surgery.",21,21,False,0.029279232025146484,male->female
"She has also studied theology. Suzanne utilizes cognitive-behavioural, solution-focused, narrative, and experiential approaches in her work with individuals, couples and families. She has facilitated self-esteem and body image groups, as well as Dialectical Behaviour Therapy (DBT) groups. Her areas of specialization include anxiety, crises of meaning, sexual concerns, depression, self-harm and grief/loss. Suzanne welcomes the opportunity to work with members of the LGBTTTIQQ community.","He has also studied theology. Suzanne utilizes cognitive-behavioural, solution-focused, narrative, and experiential approaches in him work with individuals, couples and families. He has facilitated self-esteem and body image groups, as well as Dialectical Behaviour Therapy (DBT) groups. Him areas of specialization include anxiety, crises of meaning, sexual concerns, depression, self-harm and grief/loss. Suzanne welcomes the opportunity to work with members of the LGBTTTIQQ community.",22,22,False,0.2366735339164734,female->male
"He has 34 years of experience. His specialties include Oral and Maxillofacial Surgery and General Dentistry. Dr. Kootman is affiliated with St Josephs Hospital and Med Center, West Valley Hospital Medical Center and John C Lincoln Hospital - North Mountain. He speaks English.","She has 34 years of experience. Hers specialties include Oral and Maxillofacial Surgery and General Dentistry. Dr. Kootman is affiliated with St Josephs Hospital and Med Center, West Valley Hospital Medical Center and John C Lincoln Hospital - North Mountain. She speaks English.",6,6,False,0.046264588832855225,male->female
She is the Faculty Administrator of the Muskingum University Center for Child Development and is an advisor for majors in Child and Family Studies and Psychology. She teaches courses in developmental psychology and cognition. Her research interests are in language and cognitive development in childhood.,He is the Faculty Administrator of the Muskingum University Center for Child Development and is an advisor for majors in Child and Family Studies and Psychology. He teaches courses in developmental psychology and cognition. Him research interests are in language and cognitive development in childhood.,22,21,True,0.3424908518791199,female->male
"After obtaining degrees in Piano and History, he studied composition at the Escola Superior de Música de Catalunya in Barcelona and the Sibelius Academy in Helsinki. Following this, he moved to New York where he earned a Master’s Degree in Composition for Film and Multimedia at NYU Steinhardt on a full scholarship from La Caixa and earned the Elmer Bernstein Award upon graduation.","After obtaining degrees in Piano and History, she studied composition at the Escola Superior de Música de Catalunya in Barcelona and the Sibelius Academy in Helsinki. Following this, she moved to New York where she earned a Master’s Degree in Composition for Film and Multimedia at NYU Steinhardt on a full scholarship from La Caixa and earned the Elmer Bernstein Award upon graduation.",9,9,False,0.05720493197441101,male->female
"She received her BSN from the University of Central Florida in 1984 and has been living in Denver, CO since 1990. She enjoys hiking, paddle boarding with Guinness the scottish terrier, tai chi, working on cool cars, and gardening.","He received him BSN from the University of Central Florida in 1984 and has been living in Denver, CO since 1990. He enjoys hiking, paddle boarding with Guinness the scottish terrier, tai chi, working on cool cars, and gardening.",21,21,False,0.4211190938949585,female->male
She still goes to church on Sunday but it’s what she does Monday through Saturday that would shock the congregation. MPAA Rating: NOTRATED Entertainment One Video Rating: 0 / 5,He still goes to church on Sunday but it’s what he does Monday through Saturday that would shock the congregation. MPAA Rating: NOTRATED Entertainment One Video Rating: 0 / 5,11,11,False,0.019149795174598694,female->male
"His focus is on artificial intelligence, with interests in the development of new algorithms and ""the application of machine learning methods to complex problems in software engineering, computer security, computer networks and bioinformatics.""","Hers focus is on artificial intelligence, with interests in the development of new algorithms and ""the application of machine learning methods to complex problems in software engineering, computer security, computer networks and bioinformatics.""",21,21,False,0.007186830043792725,male->female
